Date,"('value', 'sum')","('value', 'mean')","('value', 'std')",Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2010-08-24,32392.049999999963,68.05052521008396,178.96508807773398,0.06491,0.0665,0.06491,0.065,6711.76,444.66,0.07
2010-08-25,26361.889999999974,61.02289351851846,149.7867482567301,0.065,0.0665,0.0641,0.0648,4228.88,278.86,0.07
2010-08-26,27025.699999999968,64.80983213429249,245.4394165371897,0.0648,0.0658,0.064,0.064,3870.01,251.56,0.07
2010-08-27,37033.02000000003,95.20056555269932,456.7704346177809,0.064,0.065,0.063,0.065,9009.97,583.71,0.06
2010-08-28,21886.969991499973,55.8341071211734,185.12929036588324,0.065,0.065,0.0641,0.0641,6174.01,399.45,0.06
2010-08-29,16869.15999999999,51.27404255319146,180.05960255517454,0.0641,0.0648,0.064,0.064,3173.4,204.88,0.06
2010-08-30,33314.07999739997,63.820076623371584,216.83401037209916,0.064,0.069,0.03211,0.06497,34193.14,2135.0,0.06
2010-08-31,41100.92000020004,88.01053533233414,593.77638188352,0.06497,0.0649,0.06,0.06,14886.91,933.23,0.06
2010-09-01,36268.49999720003,66.91605165535061,323.8725808187273,0.06,0.0629,0.05961,0.0629,7164.72,436.73,0.06
2010-09-02,44090.33000010007,109.1344801982675,278.7664256352645,0.0629,0.0634,0.0601,0.0634,8150.73,498.98,0.06
2010-09-03,33142.41999999997,94.9639541547277,280.63872924172796,0.0634,0.063,0.06085,0.06085,892.0,54.61,0.06
2010-09-04,45316.17000000003,128.01177966101702,467.79107068658766,0.06085,0.06238,0.0612,0.06238,3301.0,202.27,0.06
2010-09-05,140251.22,385.30554945054945,3730.375350186461,0.06238,0.064,0.0605,0.0616,8459.24,527.97,0.06
2010-09-06,86899.27999840006,259.4008358161196,2558.3755783185065,0.0616,0.0627,0.0616,0.0616,910.0,56.13,0.06
2010-09-07,26255.369998299968,78.60889221047894,261.3375789975457,0.0616,0.06201,0.0603,0.061,3457.19,212.35,0.06
2010-09-08,38356.75999830009,84.6727593781459,468.5239140295671,0.061,0.062,0.060989999999999996,0.062,2345.41,143.36,0.06
2010-09-09,26744.179996199935,50.271015030451004,170.03096298538077,0.062,0.0624,0.06109,0.061110000000000005,1733.5,107.68,0.06
2010-09-10,21122.29999999996,59.16610644257692,218.96281098411995,0.061110000000000005,0.0618,0.06014,0.0618,4939.79,301.8,0.06
2010-09-11,20952.410000199983,56.172680965683604,207.34835972173,0.0618,0.065,0.0619,0.06366000000000001,7749.14,491.19,0.06
2010-09-12,115033.53000009996,216.22843984981193,2431.4499270128813,0.06366000000000001,0.0621,0.0615,0.0615,793.88,48.99,0.06
2010-09-13,38301.3400001001,64.58910623962917,225.165934850127,0.0615,0.064,0.0607,0.062189999999999995,10076.34,632.2,0.06
2010-09-14,53683.71480176017,90.37662424538749,302.21678041887316,0.062189999999999995,0.175,0.061,0.061989999999999996,14014.81,876.76,0.06
2010-09-15,34715.48999999999,66.2509351145038,234.59630133992854,0.061989999999999996,0.0625,0.0604,0.0604,3651.85,223.27,0.06
2010-09-16,42552.240000000005,87.73657731958764,418.99063225321294,0.0604,0.0619,0.0618,0.0619,730.0,45.17,0.06
2010-09-17,91051.6300000001,198.36956427015275,1668.1988315851315,0.0619,0.0609,0.059000000000000004,0.059000000000000004,7262.0,438.94,0.06
2010-09-18,54834.9000000001,125.48032036613296,729.3055431649899,0.059000000000000004,0.061,0.05761,0.061,7092.61,427.76,0.06
2010-09-19,64985.69960352011,138.85833248615407,432.5951930763804,0.061,0.0627,0.06,0.0627,12852.17,797.36,0.06
2010-09-20,49189.750000000065,66.20423956931369,273.13560613402467,0.0627,0.0634,0.062,0.0621,14307.94,891.19,0.06
2010-09-21,35311.59000009967,28.943926229589895,138.3021828943915,0.0621,0.0633,0.0623,0.06265,5735.95,359.82,0.06
2010-09-22,58875.42000000037,62.43416755037155,316.1657729956391,0.06265,0.0624,0.061470000000000004,0.0622,11560.4,717.33,0.06
2010-09-23,129849.43000000017,187.6436849710985,1525.7279655130633,0.0622,0.063,0.0615,0.062310000000000004,15505.33,970.09,0.06
2010-09-24,30261.86999999996,49.12641233766227,236.08877470369393,0.062310000000000004,0.0624,0.06209,0.0622,684.38,42.66,0.06
2010-09-25,39398.650000000256,55.49105633802853,315.9712950498793,0.0622,0.0624,0.0617,0.062020000000000006,2152.5,133.05,0.06
2010-09-26,36157.899999999805,54.20974512743599,418.67174091909965,0.062020000000000006,0.062279999999999995,0.061860000000000005,0.062,12058.13,748.2,0.06
2010-09-27,43941.60000000018,73.72751677852379,689.2269243746213,0.062,0.062279999999999995,0.0619,0.0622,10752.25,668.53,0.06
2010-09-28,111152.50503320045,102.25621438196913,1398.3245790342855,0.0622,0.06271,0.0617,0.0619,7086.15,439.05,0.06
2010-09-29,80484.39000000103,66.07913793103533,203.091270865393,0.0619,0.062,0.0615,0.06191,23475.64,1450.79,0.06
2010-09-30,82869.68812108073,90.56796515965108,649.9725270084367,0.06191,0.0619,0.06155,0.0619,7917.03,488.15,0.06
2010-10-01,32740.929999999837,54.296733001658104,396.4421061940344,0.0619,0.062,0.06189,0.061970000000000004,1717.45,106.46,0.06
2010-10-02,393429.7077681308,610.9156952921286,4026.5646638449234,0.061970000000000004,0.06191,0.06125,0.0614,13059.74,802.52,0.06
2010-10-03,58929.287766250025,109.1283106782408,316.63639733636035,0.0614,0.0614,0.061,0.061110000000000005,7172.63,439.88,0.06
2010-10-04,576221.9700009901,952.4330082660994,3377.8858718154615,0.061110000000000005,0.062,0.06081,0.0613,33995.37,2079.89,0.06
2010-10-05,186322.63000020036,376.40935353575827,1643.7543331399252,0.0613,0.06301,0.0609,0.0614,27526.61,1699.2,0.06
2010-10-06,147449.55000109016,262.8334224618363,1026.557689360909,0.0614,0.0635,0.0612,0.06281,33433.3,2091.28,0.06
2010-10-07,140144.9500000003,316.3542889390526,1217.473619245583,0.06281,0.067,0.0628,0.067,43692.98,2812.79,0.06
2010-10-08,210972.97000000047,433.20938398357384,2742.3933127495043,0.067,0.08800000000000001,0.01,0.08685,139287.29,10784.23,0.08
2010-10-09,127738.81000000027,232.25238181818233,1051.624782172164,0.08685,0.12000999999999999,0.068,0.0938,187846.95,16104.87,0.09
2010-10-10,125339.91000109026,256.3188343580578,1198.1942746128911,0.0938,0.1301,0.07998999999999999,0.0965,50684.19,4889.35,0.1
2010-10-11,77791.72000000023,179.24359447004662,1377.161116154205,0.0965,0.10300000000000001,0.091,0.095,14092.91,1395.23,0.1
2010-10-12,65220.159999999974,134.7523966942148,530.991348222358,0.095,0.099,0.08199999999999999,0.0949,25660.75,2396.82,0.09
2010-10-13,137738.79000000015,269.0210742187503,827.3070076605685,0.0949,0.105,0.092,0.105,47557.27,4558.52,0.1
2010-10-14,184841.56,405.354298245614,2265.022779796458,0.105,0.1045,0.065,0.102,37217.28,3701.65,0.1
2010-10-15,156263.77000000002,350.36719730941707,1570.0151281063152,0.102,0.11900000000000001,0.092,0.105,24643.33,2554.91,0.1
2010-10-16,210044.64000109,372.4195744700177,1397.4039408449892,0.105,0.10300000000000001,0.1,0.10099999999999999,6284.71,633.63,0.1
2010-10-17,136110.56,233.46579759862777,604.6615294100169,0.10099999999999999,0.1045,0.10001,0.102,18222.19,1857.8,0.1
2010-10-18,226985.46999999965,223.85154832347106,598.6551592260647,0.102,0.10300000000000001,0.09699999999999999,0.1024,25665.09,2591.64,0.1
2010-10-19,284540.0300000005,209.37456217807247,480.9109893263729,0.1024,0.1019,0.09699999999999999,0.09699999999999999,6235.1,623.34,0.1
2010-10-20,213055.00000000015,238.31655480984355,679.4011056255233,0.09699999999999999,0.10300000000000001,0.094,0.099,31855.0,3221.08,0.1
2010-10-21,187333.6577661504,252.81195380047288,1181.1707268295677,0.099,0.109,0.09699999999999999,0.107,44867.0,4616.85,0.1
2010-10-22,132303.10000000003,154.9216627634661,608.9820389892752,0.107,0.10901,0.1015,0.1025,34603.91,3665.43,0.11
2010-10-23,36760.61000000014,52.74119081779073,238.8973825481957,0.1025,0.109,0.10449000000000001,0.1055,4423.47,481.52,0.11
2010-10-24,117848.5599999995,156.29782493368634,816.9577989314017,0.1055,0.19,0.10800000000000001,0.11500999999999999,13800.23,1560.61,0.11
2010-10-25,194798.69000000006,316.2316396103897,1022.8027295928139,0.11500999999999999,0.19,0.09009,0.132,30299.64,4450.0,0.15
2010-10-26,194983.74000000008,266.00783083219653,790.8757396602387,0.132,0.18,0.133,0.1503,19219.13,2995.09,0.16
2010-10-27,180586.7400000001,240.4617043941413,690.8741242202454,0.1503,0.19,0.151,0.1877,65605.87,11594.02,0.18
2010-10-28,203926.42000000016,277.0739402173915,1401.8023320124732,0.1877,0.191,0.1731,0.1731,21525.04,4009.67,0.19
2010-10-29,92530.43999999993,168.2371636363635,506.6448036870126,0.1731,0.19,0.17300000000000001,0.19,28686.85,5380.49,0.19
2010-10-30,64850.31000000012,128.67125000000024,295.893315707104,0.19,0.19899999999999998,0.1875,0.1989,26708.94,5112.03,0.19
2010-10-31,77051.08000000003,200.65385416666675,763.9355215281388,0.1989,0.1989,0.171,0.1925,40337.76,7829.46,0.19
2010-11-01,49809.85000000006,114.50540229885071,347.9280778206252,0.1925,0.1955,0.172,0.1955,21258.61,4049.75,0.19
2010-11-02,82197.39000000013,230.89154494382058,820.7967797792068,0.1955,0.195,0.1905,0.1938,5853.39,1121.34,0.19
2010-11-03,52599.39000000007,125.23664285714302,340.37927413130416,0.1938,0.275,0.125,0.1931,61472.63,11769.61,0.19
2010-11-04,170770.90108787993,395.3030117774998,2754.060717953267,0.1931,0.23601,0.1934,0.23,29698.43,6229.16,0.21
2010-11-05,51348.46000000005,92.18754039497315,317.6257371723253,0.23,0.2639,0.2101,0.26,36622.07,8757.15,0.24
2010-11-06,146966.72999999963,288.73620825147276,2524.11919644282,0.26,0.5,0.2402,0.39,32756.13,9396.96,0.29
2010-11-07,128270.83,232.79642468239564,1523.038863682412,0.39,0.46998999999999996,0.28600000000000003,0.34,77218.72,27937.74,0.36
2010-11-08,485148.06999999925,787.5780357142845,6121.578251549603,0.34,0.37,0.2261,0.243,118203.83,38339.26,0.32
2010-11-09,59526.49000000012,122.98861570247959,284.22682947046576,0.243,0.32299999999999995,0.19899999999999998,0.21,47983.39,12808.3,0.27
2010-11-10,68714.25000000003,131.88915547024956,280.14930945846453,0.21,0.24,0.14,0.24,30387.03,6110.13,0.2
2010-11-11,50862.64000000008,114.81408577878122,207.28631741304665,0.24,0.24,0.21,0.2231,5031.88,1111.55,0.22
2010-11-12,43546.680000000015,128.07847058823535,242.7589078497984,0.2231,0.29,0.223,0.2682,40720.39,10494.46,0.26
2010-11-13,46213.940000000046,104.55642533936663,299.05171919752144,0.2682,0.3,0.2683,0.276,21915.57,6351.58,0.29
2010-11-14,46879.09000000006,105.34626966292149,520.7742103440575,0.276,0.299,0.2702,0.27904,16844.33,4793.81,0.28
2010-11-15,309100.05999997666,21.436997017822087,283.1355064465054,0.27904,0.2828,0.2682,0.2682,8507.74,2337.5,0.27
2010-11-16,362303.3999999999,59.71705950222514,123.20265494735384,0.2682,0.275,0.223,0.223,33931.01,8609.67,0.25
2010-11-17,71656.66000000016,127.5029537366551,300.66662637759566,0.223,0.29,0.2116,0.2299,32871.6,8662.61,0.26
2010-11-18,70290.39108788474,23.84341624419428,132.69168563109196,0.2299,0.28300000000000003,0.2221,0.2678,37446.67,10253.27,0.27
2010-11-19,167144.76000007114,14.108614839205803,117.20580855728747,0.2678,0.28,0.2682,0.28,2157.56,583.45,0.27
2010-11-20,154978.92000010706,12.723004679427556,187.9207749713006,0.28,0.29,0.26825,0.28301,14652.69,4119.07,0.28
2010-11-21,30419.799999993356,6.560232909207107,77.08487171974218,0.28301,0.282,0.27631,0.27675,765.0,212.67,0.28
2010-11-22,47855.29000000007,101.60358811040355,339.828670101649,0.27675,0.2879,0.26899999999999996,0.2879,28205.85,7818.64,0.28
2010-11-23,48640.2100000001,97.86762575452737,350.7443120288072,0.2879,0.28449,0.276,0.28295,4856.92,1361.82,0.28
2010-11-24,53039.620000006056,9.558410524419905,122.62483317240854,0.28295,0.28299,0.2761,0.28299,2514.91,710.24,0.28
2010-11-25,98956.3800000075,25.23110147883924,807.0026687189938,0.28299,0.2825,0.278,0.28,1679.6,469.99,0.28
2010-11-26,51388.380000000434,30.35344359125838,257.1194920254919,0.28,0.289,0.27612,0.2844,33531.88,9510.98,0.28
2010-11-27,27334.59999999995,46.56660988074949,206.08551305311306,0.2844,0.2844,0.28255,0.28300000000000003,1825.39,515.9,0.28
2010-11-28,33246.32999999993,47.83644604316537,207.6937240727217,0.28300000000000003,0.28461,0.27,0.27,20802.13,5746.3,0.28
2010-11-29,48440.64000000014,82.52238500851813,296.37342916228926,0.27,0.27899999999999997,0.2151,0.2299,35055.4,8802.06,0.25
2010-11-30,77391.9300000003,120.17380434782655,692.13059173618,0.2299,0.2299,0.204,0.2082,21476.25,4570.58,0.21
2010-12-01,58573.78000000037,82.38225035161796,443.7264390866357,0.2082,0.2299,0.2095,0.2275,8157.89,1752.72,0.21
2010-12-02,69088.32000000033,107.44684292379522,637.057917221451,0.2275,0.2553,0.218,0.255,20312.23,4800.55,0.24
2010-12-03,55949.04000000015,98.84989399293312,576.5098581160473,0.255,0.2552,0.243,0.25105,2570.34,633.78,0.25
2010-12-04,62437.91197510018,120.07290764442342,617.3779752335621,0.25105,0.2589,0.205,0.205,28560.72,6673.4,0.23
2010-12-05,107413.57015181013,192.49743754804683,2107.620414496407,0.205,0.235,0.19,0.19,5740.18,1178.03,0.21
2010-12-06,48014.78727154021,75.85274450480286,357.50273222633416,0.19,0.225,0.1841,0.204,4319.26,863.02,0.2
2010-12-07,83466.0030536404,103.17182083268281,474.9008405308077,0.204,0.2477,0.1701,0.233,24592.92,5411.8,0.22
2010-12-08,47665.47991435031,64.85099308074872,285.6455024004448,0.233,0.24,0.22,0.2388,3430.41,789.86,0.23
2010-12-09,48766.44264392021,81.96040780490792,300.917224855935,0.2388,0.233,0.1701,0.2,21336.33,4411.94,0.21
2010-12-10,72140.5896404703,112.36851968920607,689.9326673251022,0.2,0.204,0.18250999999999998,0.204,1684.25,328.17,0.19
2010-12-11,48228.23738539018,56.21006688273914,128.38971344357572,0.204,0.228,0.1907,0.228,5788.69,1267.2,0.22
2010-12-12,80254.28392462074,71.14741482679143,464.14049750240406,0.228,0.2279,0.20676,0.22,1963.56,418.8,0.21
2010-12-13,187819.16989777802,190.67936030231272,730.4585505655414,0.22,0.23,0.21,0.2299,6415.59,1425.92,0.22
2010-12-14,118741.49738599059,123.81803689884316,342.11674521433997,0.2299,0.2468,0.21,0.24669000000000002,10388.1,2403.83,0.23
2010-12-15,113616.36111731039,124.9904962786693,262.08895783315535,0.24669000000000002,0.24600000000000002,0.23800000000000002,0.23801,3684.68,901.15,0.24
2010-12-16,89308.19878655036,119.87677689469847,252.67228521352826,0.23801,0.255,0.22221,0.24996,14355.33,3522.62,0.25
2010-12-17,78290.8461997602,119.71077400574954,325.58414450548736,0.24996,0.249,0.24,0.24,525.51,130.19,0.25
2010-12-18,123468.5467427504,158.09032873591602,700.729386833629,0.24,0.24881,0.24100000000000002,0.24100000000000002,169.11,41.67,0.25
2010-12-19,70631.86693557035,90.78646135677423,293.5059408229435,0.24100000000000002,0.2499,0.24,0.2401,2000.76,487.49,0.24
2010-12-20,91655.64700382116,57.790445777945244,276.85428138432064,0.2401,0.275,0.24,0.267,10682.71,2769.88,0.26
2010-12-21,106844.64167720007,105.78677393782185,677.3239159667265,0.267,0.267,0.24,0.24,9225.79,2291.81,0.25
2010-12-22,91613.7274305204,86.02227927748395,331.2623775426286,0.24,0.25,0.244,0.25,3800.46,949.38,0.25
2010-12-23,70310.99730731027,78.12333034145585,144.29089300428737,0.25,0.25,0.24100000000000002,0.25,8650.15,2160.74,0.25
2010-12-24,79386.79760386019,102.43457755336799,327.45552406691246,0.25,0.25,0.242,0.248,5033.25,1252.05,0.25
2010-12-25,112352.36000000013,106.69739791073137,177.5484127724424,0.248,0.25,0.2475,0.2499,703.0,175.44,0.25
2010-12-26,79856.53580871015,90.02991635705766,388.504222108023,0.2499,0.27,0.24639,0.265,16584.97,4203.03,0.25
2010-12-27,86879.06496207029,92.52296588079903,536.1704701276007,0.265,0.27,0.251,0.265,4935.49,1270.15,0.26
2010-12-28,86967.37395765026,88.65175734724797,392.70871230564643,0.265,0.281,0.2612,0.281,15438.71,4238.98,0.27
2010-12-29,107592.79436320002,125.39952722983686,1114.3920865645812,0.281,0.301,0.271,0.3,18609.14,5363.75,0.29
2010-12-30,68120.28266360034,77.05914328461577,220.35940069746493,0.3,0.3,0.29100000000000004,0.3,2539.87,759.92,0.3
2010-12-31,68958.60129091018,79.99837736764522,316.23075425461536,0.3,0.3,0.292,0.3,1453.72,428.44,0.29
